# npulse_e = 2
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.667700000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  2.070000000E+01
#  delay_e =  0.000000000E+00
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 1.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.000000000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  6.832000000E+02
#  delay_e =  1.138700000E+03
#    Time [ps]   , Energy                                            
 4.840000000E-07   5.531529027E+00
 6.348678293E-06   5.531532892E+00
 1.714334575E-05   5.531737021E+00
 2.874570475E-05   5.533085719E+00
 3.834467230E-05   5.536077198E+00
 4.755435382E-05   5.541516571E+00
 5.612729341E-05   5.549519870E+00
 6.409401370E-05   5.559932956E+00
 7.155371962E-05   5.572515736E+00
 7.860501240E-05   5.587016735E+00
 8.532850637E-05   5.603191180E+00
 9.178570592E-05   5.620800876E+00
 9.802207148E-05   5.639611261E+00
 1.040705361E-04   5.659390095E+00
 1.099545487E-04   5.679908604E+00
 1.156905244E-04   5.700944625E+00
 1.212898174E-04   5.722287053E+00
 1.267603062E-04   5.743740667E+00
 1.321076491E-04   5.765130420E+00
 1.373362561E-04   5.786304540E+00
 1.424499988E-04   5.807136034E+00
 1.474526817E-04   5.827522495E+00
