# npulse_e = 2
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.667700000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  2.070000000E+01
#  delay_e =  0.000000000E+00
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 1.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.000000000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  6.832000000E+02
#  delay_e =  1.138700000E+03
#    Time [ps]   , occupation                                        
 4.840000000E-07   1.000000000E+01
 6.348678293E-06   1.000000000E+01
 1.714334575E-05   1.000000000E+01
 2.874570475E-05   1.000000002E+01
 3.834467230E-05   1.000000004E+01
 4.755435382E-05   1.000000009E+01
 5.612729341E-05   1.000000016E+01
 6.409401370E-05   1.000000023E+01
 7.155371962E-05   1.000000030E+01
 7.860501240E-05   1.000000037E+01
 8.532850637E-05   1.000000044E+01
 9.178570592E-05   1.000000051E+01
 9.802207148E-05   1.000000057E+01
 1.040705361E-04   1.000000063E+01
 1.099545487E-04   1.000000068E+01
 1.156905244E-04   1.000000073E+01
 1.212898174E-04   1.000000077E+01
 1.267603062E-04   1.000000081E+01
 1.321076491E-04   1.000000084E+01
 1.373362561E-04   1.000000086E+01
 1.424499988E-04   1.000000088E+01
 1.474526817E-04   1.000000089E+01
